match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5269953681,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,234,False,30420,13,31,7.55,0.42,981.29
NA1_5269930988,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,17,False,22472,14,28,0.61,0.5,802.57
NA1_5269910043,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,151,True,9992,7,24,6.29,0.29,416.33
NA1_5268225611,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,178,False,31362,8,26,6.85,0.31,1206.23
NA1_5268219889,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,13,False,11306,20,29,0.45,0.69,389.86
NA1_5266736384,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,185,False,9561,12,24,7.71,0.5,398.38
NA1_5266712520,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,200,False,24487,8,28,7.14,0.29,874.54
NA1_5273751157,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,29,False,11123,69,30,0.97,2.3,370.77
NA1_5273740453,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,29,True,18428,31,22,1.32,1.41,837.64
NA1_5273493935,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,39,False,30866,105,33,1.18,3.18,935.33
NA1_5273475005,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,102,True,6401,9,15,6.8,0.6,426.73
NA1_5273351877,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,201,False,15918,18,27,7.44,0.67,589.56
NA1_5273325983,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,203,False,21053,16,29,7.0,0.55,725.97
